RefNo,Agency,City,County,State,LEAType,JurisdictionType,TechnologyType,Vendor,Summary,PrimaryLink,ArchivedPrimaryLink,DocumentType,Source,DocumentDate,,AdditionalLink1,AdditionalLink2,AdditionalLink3,ArchivedAdditionalLink1,AdditionalArchivedLink2,AdditionalArchivedLink3,,,,,,,
TXHID039,Mission Police Department ,Mission ,Hidalgo County ,TX,Police ,Municipal ,Drones,,Budget documents disclosed that the Mission Police Department purchased a drone system and trained pilots in 2017. ,https://missiontexas.us/wp-content/uploads/2018/05/FY2017-2018-Budget.pdf,https://web.archive.org/web/20191011172323/https://missiontexas.us/wp-content/uploads/2018/05/FY2017-2018-Budget.pdf,Public Record ,Mission City Council,9/11/2017,,https://missiontexas.us/wp-content/uploads/2018/05/FY2017-2018-Budget.pdf,https://web.archive.org/web/20191202172335/https://missiontexas.us/wp-content/uploads/2018/05/FY2017-2018-Budget.pdf,,,,,,,,,,,
TXHID040,San Juan Police Department ,San Juan ,Hidalgo County ,TX,Police ,Municipal ,Body-worn Cameras,,"As of 2015, the San Juan Police Department requires all officers to wear a body-worn cameras. ",https://valleycentral.com/news/local/san-juan-pd-requires-all-officers-to-wear-body-cameras,https://web.archive.org/web/20191202174946/https://valleycentral.com/news/local/san-juan-pd-requires-all-officers-to-wear-body-cameras,News Article ,Valley Central ,2/10/2015,,,,,,,,,,,,,,
TXHID041,Weslaco Police Department,Weslaco,Hidalgo County ,TX,Police ,Municipal ,Body-worn Cameras,WatchGuard,"With a $9,988 grant from the Texas Governor's office, the Weslaco Police Department purchased two WatchGuard body-worn camera systems for motorcycle police officers in 2018. ",https://weslacotx.civicclerk.com/Web/GenFile.aspx?ad=3693,https://web.archive.org/web/20190914173149/https://weslacotx.civicclerk.com/Web/GenFile.aspx?ad=3693,Public Record ,Weslaco City Council,7/17/2018,,,,,,,,,,,,,,
TXHUD001,Texas Department of Public Safety,Fort Hancock,Hudspeth County,TX,State agency ,Statewide,Spy Plane,,"As part of a program called Operation Secure Texas, the Texas Department of Public Safety (DPS) has spent more than $15 million on two high altitude surveillance planes that flight at more than two miles above the Earth. The Texas Observer found that from January 2015 to July 2017 DPS flew these planes above Hudspeth County at least 6 times. ",https://www.texasobserver.org/tracking-dps-across-the-sky/,http://web.archive.org/web/20190909221114/https://www.texasobserver.org/tracking-dps-across-the-sky/,New Article,Texas Observer,5/23/2018,,https://www.texasobserver.org/planes/,,,https://web.archive.org/web/20190905230652/https://www.texasobserver.org/planes/,,,,,,,,,
TXJD001,Jeff Davis County Sheriff's Office,Fort Davis,Jeff Davis County,TX,Sheriff,County,Mobile Surveillance Vehicle,Terrahawk,"The TerraHawk Mobile Utility Surveillance Tower (MUST) is a van with an observation compartment on top that can be lifted 25-feet in the air. Jeff Davis County is one of least five counties along the Texas border deployed the vehicles as of 2012. 
",https://bstc.ati.org/wp-content/uploads/2017/12/9_TerraHawk-LLC.pdf,https://web.archive.org/web/20190820224532/https://bstc.ati.org/wp-content/uploads/2017/12/9_TerraHawk-LLC.pdf,Company website or promotional materials,Terrahawk,2012,,,,,,,,,,,,,,
TXKIN001,Kinney County Commissioners Court,Bracketville,Kinney County,TX,Sheriff,County,Body-worn Cameras,,"The Kinney County Commissioners Court approved a body-worn camera program, contingent on funding from the Texas governor's office. ","https://cokinneytx.civicweb.net/document/4213#page=60&zoom=100,0,0",http://web.archive.org/web/20190820224539/https://cokinneytx.civicweb.net/document/4213,Public Records,Kinney County Commissioners Court,2/12/2018,,,,,,,,,,,,,,
TXMAV002,Eagle Pass Police Department,Eagle Pass,Maverick County,TX,Police,Municipal,Body-worn Cameras,,The Eagle Pass Police Department received a grant to purchase 41 body-worn cameras. ,www.thenewsgramonline.dyndns.org:81/index.php/component/k2/item/9066-city-approves-eppd-body-cameras,https://web.archive.org/web/20190824190828/http://www.thenewsgramonline.dyndns.org:81/index.php/component/k2/item/9066-city-approves-eppd-body-cameras,New Article,The News Gram,3/21/2018,,https://www.facebook.com/OfficialCityEaglePassTexas/posts/1769214133154945,,,https://www.facebook.com/OfficialCityEaglePassTexas/posts/1769214133154945,,,,,,,,,
TXMAV001,Maverick County Sheriff’s Department,Eagle Pass,Maverick County,TX,Sheriff,County,Body-worn Cameras,,The Maverick County Sheriff's Office launched its body-worn camera program in 2017. ,http://www.epbusinessjournal.com/2017/03/maverick-county-sheriffs-department-to-wear-body-cameras/,https://web.archive.org/web/20190823200223/http://www.epbusinessjournal.com/2017/03/maverick-county-sheriffs-department-to-wear-body-cameras/,New Article,Eagle Pass Business Journal,3/10/2017,,http://www.epbusinessjournal.com/2015/12/maverick-county-sheriffs-department-to-apply-for-body-cameras-grant/,,,https://web.archive.org/web/20190823200356/http://www.epbusinessjournal.com/2015/12/maverick-county-sheriffs-department-to-apply-for-body-cameras-grant/,,,,,,,,,
TXMAV005,U.S. Border Patrol: Del Rio Sector ,Del Rio,Maverick County,TX,Federal agency,Federal,Integrated Fixed Towers,Elbit Systems of America,An Integrated Fixed Tower System (IFT) consists of radars and cameras mounted on stationary towers.  A 2018 U.S. Patrol presentation indicates that two IFTs are located in the Del Rio sector. ,https://www.documentcloud.org/documents/6162054-Final-Draft-Industry-Day-Briefing-Charts-IFT.html,https://www.documentcloud.org/documents/6162054-Final-Draft-Industry-Day-Briefing-Charts-IFT.html,Government Document,U.S. Border Patrol,10/15/2018,,https://www.gao.gov/assets/690/688666.pdf,,,http://web.archive.org/web/20190907015033/https://www.gao.gov/assets/690/688666.pdf,,,,,,,,,
TXMAV003,U.S. Border Patrol: Del Rio Sector ,Del Rio,Maverick County,TX,Federal agency,Federal,Mobile Surveillance Vehicle,,"A Mobile Surveillance Capability (MSC) system consists of radar and cameras mounted 25 feet high on a truck, with a display within the cab of the truck U.S. Border Patrol deploys these trucks in the Del Rio sector.",https://www.gao.gov/assets/690/688666.pdf,http://web.archive.org/web/20190907015033/https://www.gao.gov/assets/690/688666.pdf,Government Report,Government Accountability Office,2017,,,,,,,,,,,,,,
TXMAV006,U.S. Border Patrol: Del Rio Sector ,Del Rio,Maverick County,TX,Federal agency,Federal,Remote Video Surveillance Systems,,"A Remote Video Surveillance System (RVSS) system consists of daylight and infrared cameras mounted on poles, towers, or buildings. A 2018 U.S. Patrol presentation indicates that there are 67 RVSS located in the Del Rio sector. ",https://www.documentcloud.org/documents/6162054-Final-Draft-Industry-Day-Briefing-Charts-IFT.html,https://www.documentcloud.org/documents/6162054-Final-Draft-Industry-Day-Briefing-Charts-IFT.html,Government Document,U.S. Border Patrol,10/15/2018,,https://www.gao.gov/assets/690/688666.pdf,,,http://web.archive.org/web/20190907015033/https://www.gao.gov/assets/690/688666.pdf,,,,,,,,,
TXMAV004,U.S. Customs and Border Protection,Eagle Pass,Maverick County,TX,Federal agency,Federal,Tethered Aerostat Radar System,,"U.S. Customs and Border Protection ""Tethered Aerostat Radar Systems"" (TARS) are unmanned, unarmed blimps used for surveillance. One of the six aerostats along the U.S.-Mexico border is moored near Eagle Pass, Texas.",https://www.gao.gov/assets/690/682842.pdf,https://web.archive.org/web/20190906172159/https://www.gao.gov/assets/690/682842.pdf,Government Document,U.S. Government Accountability Office,2017,,https://www.cbp.gov/frontline/frontline-november-aerostats,,,https://web.archive.org/web/20190909220906/https://www.cbp.gov/frontline/frontline-november-aerostats,,,,,,,,,
TXPRE001,U.S. Border Patrol: Big Bend Sector,Marfa,Presidio County,TX,Federal agency,Federal,Mobile Surveillance Vehicle,,"A Mobile Surveillance Capability (MSC) system consists of radar and cameras mounted 25 feet high on a truck, with a display within the cab of the truck U.S. Border Patrol deploys these trucks in the Big Bend sector. ",https://www.gao.gov/assets/690/688666.pdf,http://web.archive.org/web/20190907015033/https://www.gao.gov/assets/690/688666.pdf,Government Report,Government Accountability Office,2017,,,,,,,,,,,,,,
TXPRE003,U.S. Border Patrol: Big Bend Sector,Marfa,Presidio County,TX,Federal agency,Federal,Remote Video Surveillance Systems,,"A Remote Video Surveillance System (RVSS) system consists of daylight and infrared cameras mounted on poles, towers, or buildings. A 2018 U.S. Patrol presentation indicates that there are 4 RVSS located in the El Centro sector. ",https://www.documentcloud.org/documents/6162054-Final-Draft-Industry-Day-Briefing-Charts-IFT.html,https://www.documentcloud.org/documents/6162054-Final-Draft-Industry-Day-Briefing-Charts-IFT.html,Government Document,U.S. Border Patrol,10/15/2018,,https://www.gao.gov/assets/690/688666.pdf,,,http://web.archive.org/web/20190907015033/https://www.gao.gov/assets/690/688666.pdf,,,,,,,,,
TXPRE002,U.S. Customs and Border Protection,Marfa,Presidio County,TX,Federal agency,Federal,Tethered Aerostat Radar System,,"U.S. Customs and Border Protection ""Tethered Aerostat Radar Systems"" (TARS) are unmanned, unarmed blimps used for surveillance. One of the six aerostats along the U.S.-Mexico border is moored near Marfa, Texas.",https://www.gao.gov/assets/690/682842.pdf,https://web.archive.org/web/20190906172159/https://www.gao.gov/assets/690/682842.pdf,Government Document,U.S. Government Accountability Office,2017,,https://www.cbp.gov/frontline/frontline-november-aerostats,,,https://web.archive.org/web/20190909220906/https://www.cbp.gov/frontline/frontline-november-aerostats,,,,,,,,,
TXSTARR007,Rio Grande City Police Department ,Rio Grande ,Starr County,TX,Police ,Municipal ,Body-worn Cameras,,The Rio Grande City Police Department has been using body-worn cameras since November 2013. ,http://periodicoenlacergv.com/rio-grande-city-pd-officers-equipped-with-wearable-hd-cameras/,https://web.archive.org/web/20191011172733/http://periodicoenlacergv.com/rio-grande-city-pd-officers-equipped-with-wearable-hd-cameras/,News Article ,Enlace,9/4/2014,,,,,,,,,,,,,,
TXSTARR001,Starr County Sheriff’s Office,Rio Grande City,Starr County,TX,Sheriff,County,Automated License Plate Readers,,The Starr County Sheriff's Officer received federal funding as far back as 2009 to purchase automated license plate readers. ,https://www.aclu.org/sites/default/files/field_document/Starr_County.2009.pdf,https://web.archive.org/web/20190828201053/https://www.aclu.org/sites/default/files/field_document/Starr_County.2009.pdf,Public Records,ACLU,2009,,https://www.aclu.org/sites/default/files/field_document/BJA_ALPR_grants_(1).pdf,,,https://web.archive.org/web/20190828201132/https://www.aclu.org/sites/default/files/field_document/BJA_ALPR_grants_(1).pdf,,,,,,,,,
TXSTARR004,Texas Department of Public Safety,Rio Grande City,Starr County,TX,State agency ,Statewide,Spy Plane,,"As part of a program called Operation Secure Texas, the Texas Department of Public Safety (DPS) has spent more than $15 million on two high altitude surveillance planes that flight at more than two miles above the Earth. The Texas Observer found that from January 2015 to July 2017, ""spy planes flew over Rio Grande City 357 times, making the border town of some 14,500 inhabitants the most watched city in Texas.""",https://www.texasobserver.org/tracking-dps-across-the-sky/,http://web.archive.org/web/20190909221114/https://www.texasobserver.org/tracking-dps-across-the-sky/,New Article,Texas Observer,5/23/2018,,https://www.texasobserver.org/planes/,,,https://web.archive.org/web/20190905230652/https://www.texasobserver.org/planes/,,,,,,,,,
TXSTARR005,U.S. Border Patrol: Rio Grand Valley Sector,Rio Grande Valley,Starr County,TX,Federal agency,Federal,Integrated Fixed Towers,Elbit Systems of America,An Integrated Fixed Tower System (IFT) consists of radars and cameras mounted on stationary towers.  A 2018 U.S. Patrol presentation indicates that one IFT is located in the Rio Grande Valley sector. ,https://www.documentcloud.org/documents/6162054-Final-Draft-Industry-Day-Briefing-Charts-IFT.html,https://www.documentcloud.org/documents/6162054-Final-Draft-Industry-Day-Briefing-Charts-IFT.html,Government Document,U.S. Border Patrol,10/15/2018,,https://www.gao.gov/assets/690/688666.pdf,,,http://web.archive.org/web/20190907015033/https://www.gao.gov/assets/690/688666.pdf,,,,,,,,,
TXSTARR006,U.S. Border Patrol: Rio Grand Valley Sector,Rio Grande Valley,Starr County,TX,Federal agency,Federal,Remote Video Surveillance Systems,,"A Remote Video Surveillance System (RVSS) system consists of daylight and infrared cameras mounted on poles, towers, or buildings. A 2018 U.S. Patrol presentation indicates that there are 83 RVSS located in the Rio Grande Valley sector. ",https://www.documentcloud.org/documents/6162054-Final-Draft-Industry-Day-Briefing-Charts-IFT.html,https://www.documentcloud.org/documents/6162054-Final-Draft-Industry-Day-Briefing-Charts-IFT.html,Government Document,U.S. Border Patrol,10/15/2018,,https://www.gao.gov/assets/690/688666.pdf,,,http://web.archive.org/web/20190907015033/https://www.gao.gov/assets/690/688666.pdf,,,,,,,,,
TXSTARR002,U.S. Border Patrol: Rio Grande City Station,Rio Grande City,Starr County,TX,Federal agency,Federal,Tactical Aerostat,,"U.S. Border Patrol deploys six ""tactical aerostat"" systems in Texas, with one stationed near its Rio Grande City Station. These surveillance balloons are similar to CBP's TARS system, except they are relocatable. The systems include radar surveillance equipment and infrared and high-resolution cameras",https://www.gao.gov/assets/690/682842.pdf,https://web.archive.org/web/20190906172159/https://www.gao.gov/assets/690/682842.pdf,Government Document,U.S. Government Accountability Office,2017,,https://www.cbp.gov/frontline/frontline-november-aerostats,,,https://web.archive.org/web/20190909220906/https://www.cbp.gov/frontline/frontline-november-aerostats,,,,,,,,,
TXSTARR003,U.S. Customs and Border Protection,Rio Grande City,Starr County,TX,Federal agency,Federal,Tethered Aerostat Radar System,,"U.S. Customs and Border Protection ""Tethered Aerostat Radar Systems"" (TARS) are unmanned, unarmed blimps used for surveillance. One of the six aerostats along the U.S.-Mexico border is moored near Rio Grande City, Texas.  ",https://www.gao.gov/assets/690/682842.pdf,https://web.archive.org/web/20190906172159/https://www.gao.gov/assets/690/682842.pdf,Government Document,U.S. Government Accountability Office,2017,,https://www.cbp.gov/frontline/frontline-november-aerostats,,,https://web.archive.org/web/20190909220906/https://www.cbp.gov/frontline/frontline-november-aerostats,,,,,,,,,
TXTERL001,Terrell County Sheriff's Office,Sanderson,Terrell County,TX,Sheriff,County,Body-worn Cameras,Digital Ally,A job posting for sheriff's deputy positions indicates all deputies are issued Digital Ally-brand body-worn cameras. ,https://www.sheriffstx.org/m-news_view?id=57,http://web.archive.org/web/20190820224922/https://www.sheriffstx.org/m-news_view?id=57,Job Posting,Sheriff's Association of Texas,1/22/2018,,,,,,,,,,,,,,
TXTRA002,Texas Department of Public Safety,Austin,Travis County,TX,State agency ,Statewide,Camera Network,,"The Texas Department of Public Safety has installed hundreds of cameras in border areas through a program called Operation Drawbridge. The $300 cameras are designed for capturing wildlife, but have been repurposed to photograph human movements. The low-light capable, motion-triggered cameras are monitored around the clock by the Texas Fusion Center, the Texas Border Security Operations Center, DPS Communications facilities, and U.S. Border Patrol Facilities. Texas DPS claims the cameras have been used to apprehend 250,000 individuals and the seizure of 248 tons of marijuana as of January 2019.",https://www.dps.texas.gov/PublicInformation/operDrawbrdg.htm,http://web.archive.org/web/20190904182523/https://www.dps.texas.gov/PublicInformation/operDrawbrdg.htm,Government Document,Texas Department of Public Safety,,,https://www.dps.texas.gov/PublicInformation/drawbrdgPhotos.pdf,,,http://web.archive.org/web/20190904182556/https://www.dps.texas.gov/PublicInformation/drawbrdgPhotos.pdf,,,,,,,,,
TXTRA001,Texas Department of Public Safety,Austin,Travis County,TX,State,Statewide,Face recognition,,A study by the Center on Privacy & Technology at Georgetown Law found that the Texas Department of Public Safety (DPS) has used face recognition since 2005. DPS can search 24-million driver license and ID photos and 24.9-million mug shots in the FBI’s Next Generation Identification Interstate Photos System. Texas DPS accepts search requests from both local and federal law enforcement agencies. ,https://www.perpetuallineup.org/jurisdiction/texas,https://web.archive.org/web/20190907195830/https://www.perpetuallineup.org/jurisdiction/texas,Academic Report,Center on Privacy & Technology at Georgetown Law,2016,,,,,,,,,,,,,,
TXVVER003,Del Rio Police Department,Del Rio,Val Verde County,TX,Police,Municipal,Automated License Plate Readers,,"The Del Rio Police Department has had automated license plate readers since 2007. As of 2013, DRPD had 7 patrol units outfitted with mobile ALPRs, 5 ALPR trailers that can be deployed at various locations through the city, and 2 fixed ALPR systems on HWY 90 E. DRPD claims to have ALPR cameras at all entry points to the city. ",http://cityofdelrio.com/DocumentCenter/View/1322/License-Plate-Reader-LPR?bidId=,https://web.archive.org/web/20190824201307/http://cityofdelrio.com/DocumentCenter/View/1322/License-Plate-Reader-LPR?bidId=,Info on a government website,Del Rio Website,2013,,http://cityofdelrio.com/ArchiveCenter/ViewFile/Item/877,,,https://www.documentcloud.org/documents/6380469-Del-Rio-PD-63-CCREG-12-10-13.html,,,,,,,,,
TXVVER005,Del Rio Police Department,Del Rio,Val Verde County,TX,Police,Municipal,Body-worn Cameras,,The Del Rio Police Department launched a body-worn camera program with the purchase of 35 cameras in 2017.,http://delrionewsherald.com/article_d0ef355e-69b8-11e7-bc43-43414b19413d.html,http://web.archive.org/web/20190820224924/http://delrionewsherald.com/article_d0ef355e-69b8-11e7-bc43-43414b19413d.html,New Article,Del Rio News Herald,7/16/2017,,https://www.cityofdelrio.com/ArchiveCenter/ViewFile/Item/1376,,,http://web.archive.org/web/20190820225955/https://www.cityofdelrio.com/ArchiveCenter/ViewFile/Item/1376,,,,,,,,,
TXVVER002,Val Verde County Sheriff's Office,Del Rio,Val Verde County,TX,Sheriff,County,Body-worn Cameras,,The Val Verde County Sheriff's Office launched a body-worn camera program in 2016 with the purchase of 35 cameras.,http://delrionewsherald.com/article_d0ef355e-69b8-11e7-bc43-43414b19413d.html,http://web.archive.org/web/20190820224924/http://delrionewsherald.com/article_d0ef355e-69b8-11e7-bc43-43414b19413d.html,New Article,Del Rio News Herald,7/16/2017,,,,,http://web.archive.org/web/20190820225955/https://www.cityofdelrio.com/ArchiveCenter/ViewFile/Item/1376,,,,,,,,,
TXVVER001,Val Verde County Sheriff's Office,Del Rio,Val Verde County,TX,Sheriff,County,Lidar,Quanergy,"In 2018, the Val Verde Sheriff's Office worked with Quanergy to test lidar sensors, capable of 3D imaging, on a private ranch in Del Rio.",https://www.nytimes.com/2018/09/18/technology/trump-border-wall-lidar.html,http://web.archive.org/web/20190820224922/https://www.nytimes.com/2018/09/18/technology/trump-border-wall-lidar.html,New Article,New York Times,9/18/2018,,,,,,,,,,,,,,
TXVVER004,Val Verde County Sheriff's Office,Del Rio,Val Verde County,TX,Sheriff,County,Mobile Surveillance Vehicle,Terrahawk,"The TerraHawk Mobile Utility Surveillance Tower (MUST) is a van with an observation compartment on top that can be lifted 25-feet in the air. Val Verde County is one of at least five counties along the Texas border deployed the vehicles as of 2012. 
",https://bstc.ati.org/wp-content/uploads/2017/12/9_TerraHawk-LLC.pdf,https://web.archive.org/web/20190820224532/https://bstc.ati.org/wp-content/uploads/2017/12/9_TerraHawk-LLC.pdf,Company website or promotional materials,Terrahawk,2012,,,,,,,,,,,,,,
TXWEBB031,Drug Enforcement Administration,Laredo,Webb County,TX,Federal agency,Federal,Automated License Plate Readers,Perceptics,"As recently as July 2018, the Drug Enforcement Administration has used Perceptics automated license plate readers in Laredo. ",https://www.documentcloud.org/documents/6386782-Laredo-Perceptics.html,https://www.documentcloud.org/documents/6386782-Laredo-Perceptics.html,Public Records,Drug Enforcement Administration ,7/17/2017,,https://www.fbo.gov/notices/236cd0738e6d38d4be11cb1552b9cdc0,,,https://web.archive.org/web/20190907232235/https://www.fbo.gov/index?s=opportunity&mode=form&tab=core&id=236cd0738e6d38d4be11cb1552b9cdc0,,,,,,,,,
TXWEBB007,Laredo Independent School District Police Department,Laredo,Webb County,TX,Police,School District,Body-worn Cameras,,"As of 2017, the Laredo Police Department has obtained at least 15 BWCs through grants and hopes to equip 359 of its officers in the future.",https://www.lmtonline.com/local/article/Laredo-ISD-police-to-add-body-cameras-to-their-12188201.php,http://web.archive.org/web/20190820224931/https://www.lmtonline.com/local/article/Laredo-ISD-police-to-add-body-cameras-to-their-12188201.php,New Article,LMT Online,9/11/2017,,https://www.bwctta.com/sites/default/files/Files/Resources/Laredo%20BWC%20Policy%20Final%205-9.pdf,https://www.documentcloud.org/documents/6306278-LAREDO-ISD-BWC.html,,http://web.archive.org/web/20190820230010/https://www.bwctta.com/sites/default/files/Files/Resources/Laredo%20BWC%20Policy%20Final%205-9.pdf,https://www.documentcloud.org/documents/6306278-LAREDO-ISD-BWC.html,,,,,,,,No
TXWEBB020,Laredo Police Department,Laredo,Webb County,TX,Police,Municipal,Automated License Plate Readers,Wireless CCTV,"The Laredo Police Department is in the process of purchasing ALPRs from Wireless CCTV, city council meeting minutes show. The systems will be paid for through Operation Stonegarden, a program that funds local law enforcement to cooperate with federal agencies in border operations. These ALPR trailers will be placed in high traffic areas along roads that the U.S. Border Patrol has identified as hot spots for smuggling. ",http://www.cityoflaredo.com/city-council/council-activities/council-agendas/2018Agendas/2018-R-18.pdf,http://web.archive.org/web/20190820224949/http://www.cityoflaredo.com/city-council/council-activities/council-agendas/2018Agendas/2018-R-18.pdf,Info on a government website,City of Laredo,11/5/2018,,,,,,,,,,,,,,
TXWEBB008,Laredo Police Department,Laredo,Webb County,TX,Police,Municipal,Body-worn Cameras,,"The Laredo Police Department distributes BWCs to officers who are regularly engaged in traffic patrol, detain or stop vehicles, and respond directly to calls from the public. As of February 2019, the Laredo Police Department has obtained at least 15 BWCs through grants and hopes to equip 359 of its officers in the future. The cameras, manufactured by Utility Associates, are partially concealed: all that is visible is the lens, which is placed a long the buttons on a police officer's shirt or vest.",http://www.cityoflaredo.com/CMO/CASS/Pres_Fed/2019/2019_Federal_Legislative_Agenda.pdf,http://web.archive.org/web/20190820224932/http://www.cityoflaredo.com/CMO/CASS/Pres_Fed/2019/2019_Federal_Legislative_Agenda.pdf,Info on a government website,City of Laredo,2/19/2019,,http://www.ci.laredo.tx.us/cmo/CASS/Pres_Fed/2017/body-worn.html,,,http://web.archive.org/web/20190820224928/http://www.ci.laredo.tx.us/cmo/CASS/Pres_Fed/2017/body-worn.html,,,,,,,,The city of Laredo has the body cameras but not Texas A&M International Univeristy specifically.,
TXWEBB013,Laredo Police Department,Laredo,Webb County,TX,Police,Municipal,Camera Networks/Real-Time Crime Centers,,"In 2018, the Laredo Police Department received approval to establish a $1.4 million real-time crime center in the city. Most of the funding will go to putting surveillance cameras around the city so that the police department can gather real-time information and relay it to investigators who may be responding to a crime scene. ",https://www.lmtonline.com/local/article/1-4M-to-build-real-time-crime-center-for-Laredo-13013428.php,http://web.archive.org/web/20190820224959/https://www.lmtonline.com/local/article/1-4M-to-build-real-time-crime-center-for-Laredo-13013428.php,New Article,LMT Online,1/29/2018,,https://www.laredopd.com/wp-content/uploads/2019/03/2018-Annual-Report-Final.pdf,,,http://web.archive.org/web/20190820230019/https://www.laredopd.com/wp-content/uploads/2019/03/2018-Annual-Report-Final.pdf,,,,,,,,,
TXWEBB023,Laredo Police Department,Laredo,Webb County,TX,Police,Municipal,Drones,Leptron,"As of 2016, the Laredo Police Department has at least one drone. It is for “search and rescue for the SWAT team, crime scenes, and action scenes,” including hostage situations, according city council records.",http://www.cityoflaredo.com/Budget/Budget_Presentations/2016-2017/Police/Police.pdf,http://web.archive.org/web/20190820225000/http://www.cityoflaredo.com/Budget/Budget_Presentations/2016-2017/Police/Police.pdf,Info on a government website,Laredo Government Website,1/19/2016,,http://www.cityoflaredo.com/city-council/council-activities/council-minutes/2016Min/M2016-R-01.pdf,,,http://web.archive.org/web/20190820230121/http://www.cityoflaredo.com/city-council/council-activities/council-minutes/2016Min/M2016-R-01.pdf,,,,,,,,,
TXWEBB027,Texas A&M International University Police Department,Laredo,Webb County,TX,Police,University,Body-worn Cameras,,The Texas A&M International University Police Department has used body-worn cameras since 2014. ,https://www.lmtonline.com/news/article/Body-camera-policy-eyed-10916451.php,http://web.archive.org/web/20190820225012/https://www.lmtonline.com/news/article/Body-camera-policy-eyed-10916451.php,New Article,LMT Online,2/8/2017,,,,,,,,,,,,,,
TXWEBB028,Texas Department of Public Safety,Laredo,Webb County,TX,State agency ,Statewide,Spy Plane,,"As part of a program called Operation Secure Texas, the Texas Department of Public Safety (DPS) has spent more than $15 million on two high altitude surveillance planes that flight at more than two miles above the Earth. The Texas Observer found that from January 2015 to July 2017 DPS flew these planes above Webb County at least 54 times for purposes such as patroling the border.",https://www.texasobserver.org/tracking-dps-across-the-sky/,http://web.archive.org/web/20190909221114/https://www.texasobserver.org/tracking-dps-across-the-sky/,New Article,Texas Observer,5/23/2018,,https://www.texasobserver.org/planes/,,,https://web.archive.org/web/20190905230652/https://www.texasobserver.org/planes/,,,,,,,,,
TXWEBB029,U.S. Border Patrol: Laredo Sector,Laredo,Webb County,TX,Federal agency,Federal,Integrated Fixed Towers,Elbit Systems of America,An Integrated Fixed Tower System (IFT) consists of radars and cameras mounted on stationary towers. A 2018 U.S. Patrol presentation indicates that two IFTs are located in the Laredo sector. ,https://www.documentcloud.org/documents/6162054-Final-Draft-Industry-Day-Briefing-Charts-IFT.html,https://www.documentcloud.org/documents/6162054-Final-Draft-Industry-Day-Briefing-Charts-IFT.html,Government Document,U.S. Border Patrol,10/15/2018,,https://www.gao.gov/assets/690/688666.pdf,,,http://web.archive.org/web/20190907015033/https://www.gao.gov/assets/690/688666.pdf,,,,,,,,,
TXWEBB030,U.S. Border Patrol: Laredo Sector,Laredo,Webb County,TX,Federal agency,Federal,Remote Video Surveillance Systems,,"A Remote Video Surveillance System (RVSS) system consists of daylight and infrared cameras mounted on poles, towers, or buildings. A 2018 U.S. Patrol presentation indicates that there are 107 RVSS located in the Laredo Sector.",https://www.documentcloud.org/documents/6162054-Final-Draft-Industry-Day-Briefing-Charts-IFT.html,https://www.documentcloud.org/documents/6162054-Final-Draft-Industry-Day-Briefing-Charts-IFT.html,Government Document,U.S. Border Patrol,10/15/2018,,https://www.gao.gov/assets/690/688666.pdf,,,http://web.archive.org/web/20190907015033/https://www.gao.gov/assets/690/688666.pdf,,,,,,,,,
TXWEBB025,United Independent School District Police Department,Laredo,Webb County,TX,Police,School District,Body-worn Cameras,,"In September 2017, the United Independent School District got a grant from the federal Bureau of Justice Assistance to purchase body-worn cameras. ",https://www.lmtonline.com/news/article/Body-camera-policy-eyed-10916451.php,http://web.archive.org/web/20190820225012/https://www.lmtonline.com/news/article/Body-camera-policy-eyed-10916451.php,New Article,LMT Online,2/8/2017,,,,,,,,,,,,,,
TXWEBB001,Webb County Sheriff's Office,Laredo,Webb County,TX,Sheriff,County,Automated License Plate Readers,,"In 2019, the Webb County Sheriff’s Office announced the approval for 10 new patrol units. These vehicles are equippped with automated license plate readers.",https://www.kgns.tv/content/news/new-units-505153361.html,http://web.archive.org/web/20190820224925/https://www.kgns.tv/content/news/new-units-505153361.html,New Article,KGNS,1/31/2019,,http://www.webbcountytx.gov/sheriff/the%20lawman%20journal%20volume%202%20issue%20i.pdf,,,http://web.archive.org/web/20190820230005/http://www.webbcountytx.gov/sheriff/the%20lawman%20journal%20volume%202%20issue%20i.pdf,,,,,,,,,
TXWEBB006,Webb County Sheriff's Office,Laredo,Webb County,TX,Sheriff,County,Body-worn Cameras,,"The Webb County Sheriff's Office began purchasing body-worn cameras after receiving a $22,000 grant. ",https://www.kgns.tv/content/news/County-Commissioners-to-Discuss-Grant-for-Body-Camera-Program-393111861.html,http://web.archive.org/web/20190820224929/https://www.kgns.tv/content/news/County-Commissioners-to-Discuss-Grant-for-Body-Camera-Program-393111861.html,New Article,KGNS,9/12/2016,,https://www.youtube.com/watch?v=bvU4qYLF6Gs,,,http://web.archive.org/web/20190820224944/https://www.youtube.com/watch?v=bvU4qYLF6Gs,,,,,,,,,Possibly
TXWEBB003,Webb County Sheriff's Office,Laredo,Webb County,TX,Sheriff,County,Camera Network,,"As of December 2018, the Webb County Sheriff's department had installed 10 camera towers along on the U.S.-Mexican border through Operation Stonegarden funding.  ",https://www.kgns.tv/content/news/Sheriffs-office-installs-10-cameras-along-the-border-502121952.html,http://web.archive.org/web/20190820224926/https://www.kgns.tv/content/news/Sheriffs-office-installs-10-cameras-along-the-border-502121952.html,New Article,KGNS,12/6/2018,,,,,,,,,,,,,,
